Component Name,Quanitity,Price,REF,Link
IR Reciever + Transmitter,1,$4.53,,https://www.aliexpress.com/item/32675916539.html?spm=a2g0o.productlist.main.2.671e61b38Nlv9O&algo_pvid=31865186-8208-4073-87d9-e321f74cd8ce&algo_exp_id=31865186-8208-4073-87d9-e321f74cd8ce-1&pdp_ext_f=%7B%22order%22%3A%22414%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.56%211.61%21%21%213.26%211.15%21%402101e07217773196080841380e54e3%2160182441504%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895%3BpisId%3A5000000203720056&curPageLogUid=plpMi6Lgedpu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32675916539%7C_p_origin_prod%3A#nav-specification
IR Receiver,1,$2.88,Receiver1,https://www.aliexpress.com/item/1930186275.html?spm=2114.12010108.1000023.2.6HwVeR
MSP430G2553,2,$13.22,U1,https://www.aliexpress.com/item/1005008421058049.html?spm=a2g0o.productlist.main.11.24d839a2QTEzER&algo_pvid=72f19755-e4d1-4455-921f-67ef6c782e48&algo_exp_id=72f19755-e4d1-4455-921f-67ef6c782e48-10&pdp_ext_f=%7B%22order%22%3A%2219%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%217.11%217.11%21%21%2134.75%2134.75%21%402101c59117773224688693517e6f7b%2112000044994286676%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7cfc8024%3Bm03_new_user%3A-29895&curPageLogUid=ek5zB83Puujk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008421058049%7C_p_origin_prod%3A
MSP430G2553 LaunchPad,1,$27.44,,https://www.aliexpress.com/item/1005007189292097.html?spm=a2g0o.productlist.main.2.1ce3364f2YtzT6&algo_pvid=f166b576-5571-4b8b-90ce-86a93aae9490&algo_exp_id=f166b576-5571-4b8b-90ce-86a93aae9490-1&pdp_ext_f=%7B%22order%22%3A%225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2120.79%2120.79%21%21%21102.00%21102.00%21%402103128817779474395335547eb96f%2112000039745097806%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895&curPageLogUid=2tV5OqEq3V2M&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007189292097%7C_p_origin_prod%3A#nav-specification
2 Pin Screw Terminal 2.54mm,2,$3.46,"Code1, Battery1",https://www.aliexpress.com/item/1005002549483233.html?spm=a2g0o.productlist.main.32.4fef78ffx3ifGk&aem_p4p_detail=20260504185819301220688862560006967512&algo_pvid=1330e10e-17f0-424c-bcdd-7bf0c80bf185&algo_exp_id=1330e10e-17f0-424c-bcdd-7bf0c80bf185-31&pdp_ext_f=%7B%22order%22%3A%221407%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.46%211.38%21%21%212.49%210.99%21%402101e07217779462989278069e52df%2112000021616678134%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000205307680&curPageLogUid=Ze1MaWzTkJNH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002549483233%7C_p_origin_prod%3A&search_p4p_id=20260504185819301220688862560006967512_9
Male Pin Headers 2.54mm,3,$7.65,"TuBuck1, FromBuck1",https://www.aliexpress.com/item/1005006181780843.html?spm=a2g0o.productlist.main.24.ea776561OVMNUI&aem_p4p_detail=202605041859382756502444427200000999356&algo_pvid=6d2cee8a-db5f-4eee-a6c9-ed7d669d24f3&algo_exp_id=6d2cee8a-db5f-4eee-a6c9-ed7d669d24f3-23&pdp_ext_f=%7B%22order%22%3A%22676%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.68%211.67%21%21%218.22%218.17%21%402101dedf17779463780755641ee14e%2112000036166501516%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=kJgwXwCjDtbw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006181780843%7C_p_origin_prod%3A&search_p4p_id=202605041859382756502444427200000999356_6
Capacitor 16v 470uF,1,$8.28,C1,https://www.aliexpress.com/item/1005006192445408.html?spm=a2g0o.productlist.main.27.71c069a8Vzt1WO&algo_pvid=a17db56c-e246-436f-af03-a9bb7f35b235&algo_exp_id=a17db56c-e246-436f-af03-a9bb7f35b235-26&pdp_ext_f=%7B%22order%22%3A%222303%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.27%211.16%21%21%216.23%215.67%21%402101e2b017779465085292881ed9ac%2112000036208398978%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895&curPageLogUid=cPNPzdQAczTI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006192445408%7C_p_origin_prod%3A
4x AA Battery Pack,2,$9.99,,https://www.amazon.ca/LAMPVPATH-Battery-Holder-Switch-Leads/dp/B07L9M6VZK?crid=28SQC1TC7P2RC&dib=eyJ2IjoiMSJ9.mGHGcBo0kpUxvv0pldixR_Fl7FM03uVse5zGkofqe8e8DuZKf1kizNw0ak7mu3H8xbsDra2CKSqMg29lLXf4uSgnMmtEciVedjr28f6aVxYI-bA35xaAe4OgksnY_68rW4AKtx14dou0SKYYC4GvncCE9j4Dm88HZCpp5gnxxHkr4qnbu_7hUPe0LMNY4KJFmm9FbKnVETI-IfmgCXlb_DVfHdUdls5JXapsRIr24DWD9MsnLfT5fk53BVjGP7wkPOhHaB-RIWautQ8O0kS0cnC2UUOys96Cjw9UDhTUq9g.T9AU9-ObSAsL0QP0eMXLiK26I6PbYTV7VyChnHktdP4&dib_tag=se&keywords=4x%2BAA%2Bbattery%2Bholder&qid=1777325314&s=electronics&sprefix=4x%2Baa%2Bbattery%2Bholder%2Celectronics%2C181&sr=1-8&th=1
MG996R (Kit),2,$8.62,,https://www.aliexpress.com/item/1005001878275044.html?spm=a2g0o.productlist.main.2.1cdb463axJWcmp&algo_pvid=96b31d0c-f808-4c9d-80df-78cbfb50e5cf&algo_exp_id=96b31d0c-f808-4c9d-80df-78cbfb50e5cf-1&pdp_ext_f=%7B%22order%22%3A%2283%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.90%211.38%21%21%211.37%211.00%21%402101e07217779461206604513e52f0%2112000017995190712%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=Is8JcX1q9ld8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001878275044%7C_p_origin_prod%3A
3x AA Battery Pack,1,$3.12,,https://www.aliexpress.com/item/32850286281.html?src=google&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en32850286281&ds_e_product_merchant_id=109226772&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19366866438&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17337458112&gbraid=0AAAAACbpRIk-A1mdSM1eXVTdW4-_PlpcJ&gclid=CjwKCAjw5NvPBhAoEiwA_2egfrvVOwEaGhbf2DvHV9GB29rSpoNoe8rJhdXSgyGv1hXeEfLKrs9C0BoCwH0QAvD_BwE#nav-description
M3(OD4mm) Heat Set Insert,23,$3.53,,https://www.aliexpress.com/item/1005008666672949.html?spm=a2g0o.productlist.main.2.749458c7rRQp35&algo_pvid=35d70cb8-5d76-49dd-8851-ff151df431a1&algo_exp_id=35d70cb8-5d76-49dd-8851-ff151df431a1-1&pdp_ext_f=%7B%22order%22%3A%2215992%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.55%211.38%21%21%2117.43%216.80%21%402101ee6617779467088315340eea20%2112000046157335299%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000205307742&curPageLogUid=4Nm5SeP7s2is&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008666672949%7C_p_origin_prod%3A
M3 Machine Screw Kit,1,$9.87,,https://www.aliexpress.com/item/1005007021342718.html?spm=a2g0o.productlist.main.11.18e225dau4vsnt&algo_pvid=706c663d-4dab-43e7-a7cb-2fb2ca2677f0&algo_exp_id=706c663d-4dab-43e7-a7cb-2fb2ca2677f0-10&pdp_ext_f=%7B%22order%22%3A%225187%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%218.38%211.38%21%21%216.03%210.99%21%402103128817779468078077630eb970%2112000039106439685%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895%3BpisId%3A5000000205307698&curPageLogUid=8UvW5TxlCF0z&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007021342718%7C_p_origin_prod%3A
AA Batteries,11,$14.99,,https://www.shoppersdrugmart.ca/duracell-copper-black-aa-8-pack/p/BB_041333825014?variantCode=041333825014&source=nspt
*Jumper Wires ~3cm,8,$8.41,,https://www.aliexpress.com/item/1005008606823974.html?spm=a2g0o.productlist.main.12.56606187IZC8fp&aem_p4p_detail=202605051710301640298806334320007655850&algo_pvid=74aa1fab-b369-46ed-a0b5-63163f561eae&algo_exp_id=74aa1fab-b369-46ed-a0b5-63163f561eae-11&pdp_ext_f=%7B%22order%22%3A%2274%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.02%210.79%21%21%215.02%213.87%21%402101ea8c17780262300538364e149a%2112000045927628810%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae6a51728%3Bm03_new_user%3A-29895&curPageLogUid=bhzxZDESKeOj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008606823974%7C_p_origin_prod%3A&search_p4p_id=202605051710301640298806334320007655850_3
CC9000 PCB,2,$3.50,,
Total,,$142.37,,
